field,G;intensity,a.u.
3077.67;1733
3077.77;1735
3077.87;1736
3077.97;1735
3078.07;1735
3078.17;1735
3078.27;1739
3078.37;1743
3078.47;1744
3078.57;1746
3078.67;1749
3078.77;1749
3078.87;1749
3078.97;1747
3079.08;1747
3079.18;1749
3079.28;1747
3079.38;1747
3079.48;1747
3079.58;1748
3079.68;1751
3079.78;1755
3079.88;1758
3079.98;1759
3080.08;1760
3080.18;1761
3080.28;1762
3080.38;1762
3080.48;1760
3080.58;1763
3080.68;1766
3080.78;1767
3080.88;1767
3080.98;1767
3081.08;1765
3081.18;1764
3081.28;1763
3081.38;1764
3081.48;1770
3081.58;1766
3081.68;1769
3081.78;1771
3081.88;1773
3081.98;1775
3082.08;1776
3082.18;1779
3082.28;1781
3082.38;1783
3082.48;1782
3082.58;1786
3082.68;1786
3082.78;1786
3082.88;1786
3082.98;1787
3083.08;1787
3083.18;1789
3083.28;1790
3083.38;1791
3083.48;1794
3083.58;1794
3083.68;1795
3083.78;1799
3083.88;1800
3083.98;1800
3084.08;1802
3084.18;1802
3084.28;1805
3084.38;1800
3084.48;1800
3084.58;1802
3084.68;1804
3084.78;1802
3084.88;1806
3084.98;1806
3085.08;1806
3085.18;1806
3085.28;1805
3085.38;1808
3085.48;1809
3085.58;1811
3085.68;1812
3085.78;1814
3085.88;1811
3085.98;1811
3086.08;1811
3086.18;1812
3086.28;1814
3086.38;1815
3086.48;1816
3086.58;1819
3086.68;1815
3086.78;1815
3086.88;1818
3086.98;1821
3087.09;1824
3087.19;1824
3087.29;1823
3087.39;1822
3087.49;1822
3087.59;1818
3087.69;1824
3087.79;1824
3087.89;1825
3087.99;1827
3088.09;1828
3088.19;1830
3088.29;1831
3088.39;1833
3088.49;1835
3088.59;1839
3088.69;1837
3088.79;1837
3088.89;1838
3088.99;1839
3089.09;1838
3089.19;1840
3089.29;1841
3089.39;1842
3089.49;1843
3089.59;1842
3089.69;1843
3089.79;1842
3089.89;1841
3089.99;1846
3090.09;1849
3090.19;1851
3090.29;1853
3090.39;1850
3090.49;1854
3090.59;1855
3090.69;1855
3090.79;1856
3090.89;1859
3090.99;1859
3091.09;1859
3091.19;1859
3091.29;1860
3091.39;1862
3091.49;1861
3091.59;1860
3091.69;1861
3091.79;1861
3091.89;1859
3091.99;1860
3092.09;1861
3092.19;1860
3092.29;1862
3092.39;1863
3092.49;1864
3092.59;1863
3092.69;1862
3092.79;1868
3092.89;1871
3092.99;1873
3093.09;1875
3093.19;1876
3093.29;1877
3093.39;1876
3093.49;1876
3093.59;1876
3093.69;1880
3093.79;1878
3093.89;1881
3093.99;1884
3094.09;1886
3094.19;1887
3094.29;1889
3094.39;1890
3094.49;1890
3094.59;1890
3094.69;1890
3094.79;1890
3094.89;1890
3094.99;1889
3095.1;1891
3095.2;1895
3095.3;1897
3095.4;1899
3095.5;1900
3095.6;1903
3095.7;1904
3095.8;1905
3095.9;1905
3096;1908
3096.1;1905
3096.2;1905
3096.3;1906
3096.4;1907
3096.5;1910
3096.6;1909
3096.7;1909
3096.8;1910
3096.9;1910
3097;1908
3097.1;1911
3097.2;1910
3097.3;1910
3097.4;1910
3097.5;1910
3097.6;1910
3097.7;1912
3097.8;1913
3097.9;1916
3098;1918
3098.1;1918
3098.2;1919
3098.3;1921
3098.4;1923
3098.5;1924
3098.6;1925
3098.7;1927
3098.8;1934
3098.9;1928
3099;1929
3099.1;1931
3099.2;1934
3099.3;1935
3099.4;1937
3099.5;1938
3099.6;1940
3099.7;1941
3099.8;1940
3099.9;1943
3100;1944
3100.1;1945
3100.2;1947
3100.3;1948
3100.4;1948
3100.5;1950
3100.6;1951
3100.7;1953
3100.8;1956
3100.9;1957
3101;1958
3101.1;1963
3101.2;1962
3101.3;1962
3101.4;1962
3101.5;1960
3101.6;1962
3101.7;1957
3101.8;1958
3101.9;1958
3102;1960
3102.1;1959
3102.2;1963
3102.3;1963
3102.4;1964
3102.5;1967
3102.6;1966
3102.7;1968
3102.8;1969
3102.9;1970
3103.01;1971
3103.11;1975
3103.21;1975
3103.31;1978
3103.41;1981
3103.51;1985
3103.61;1989
3103.71;1991
3103.81;1993
3103.91;1996
3104.01;1995
3104.11;1995
3104.21;1999
3104.31;1999
3104.41;2000
3104.51;2000
3104.61;2001
3104.71;2001
3104.81;2003
3104.91;2000
3105.01;2007
3105.11;2010
3105.21;2012
3105.31;2013
3105.41;2016
3105.51;2017
3105.61;2017
3105.71;2017
3105.81;2019
3105.91;2022
3106.01;2021
3106.11;2021
3106.21;2021
3106.31;2021
3106.41;2021
3106.51;2023
3106.61;2026
3106.71;2027
3106.81;2030
3106.91;2031
3107.01;2034
3107.11;2037
3107.21;2036
3107.31;2041
3107.41;2043
3107.51;2046
3107.61;2050
3107.71;2049
3107.81;2055
3107.91;2059
3108.01;2060
3108.11;2059
3108.21;2061
3108.31;2059
3108.41;2061
3108.51;2064
3108.61;2067
3108.71;2069
3108.81;2069
3108.91;2073
3109.01;2076
3109.11;2078
3109.21;2078
3109.31;2083
3109.41;2084
3109.51;2085
3109.61;2089
3109.71;2091
3109.81;2094
3109.91;2096
3110.01;2095
3110.11;2099
3110.21;2100
3110.31;2100
3110.41;2102
3110.51;2103
3110.61;2104
3110.71;2106
3110.81;2110
3110.91;2113
3111.02;2118
3111.12;2116
3111.22;2119
3111.32;2122
3111.42;2124
3111.52;2125
3111.62;2128
3111.72;2130
3111.82;2132
3111.92;2133
3112.02;2134
3112.12;2137
3112.22;2141
3112.32;2141
3112.42;2144
3112.52;2147
3112.62;2148
3112.72;2151
3112.82;2154
3112.92;2158
3113.02;2162
3113.12;2164
3113.22;2166
3113.32;2173
3113.42;2171
3113.52;2175
3113.62;2179
3113.72;2183
3113.82;2186
3113.92;2188
3114.02;2190
3114.12;2192
3114.22;2196
3114.32;2199
3114.42;2205
3114.52;2209
3114.62;2212
3114.72;2215
3114.82;2216
3114.92;2218
3115.02;2220
3115.12;2223
3115.22;2227
3115.32;2230
3115.42;2232
3115.52;2235
3115.62;2240
3115.72;2241
3115.82;2244
3115.92;2247
3116.02;2251
3116.12;2259
3116.22;2255
3116.32;2258
3116.42;2262
3116.52;2264
3116.62;2266
3116.72;2274
3116.82;2279
3116.92;2284
3117.02;2288
3117.12;2290
3117.22;2295
3117.32;2298
3117.42;2302
3117.52;2307
3117.62;2312
3117.72;2316
3117.82;2321
3117.92;2325
3118.02;2330
3118.12;2334
3118.22;2337
3118.32;2341
3118.42;2346
3118.52;2346
3118.62;2347
3118.72;2351
3118.82;2354
3118.92;2359
3119.03;2359
3119.13;2363
3119.23;2367
3119.33;2370
3119.43;2370
3119.53;2381
3119.63;2385
3119.73;2391
3119.83;2396
3119.93;2400
3120.03;2405
3120.13;2408
3120.23;2413
3120.33;2416
3120.43;2420
3120.53;2422
3120.63;2424
3120.73;2427
3120.83;2429
3120.93;2432
3121.03;2438
3121.13;2444
3121.23;2449
3121.33;2453
3121.43;2458
3121.53;2465
3121.63;2470
3121.73;2473
3121.83;2480
3121.93;2486
3122.03;2492
3122.13;2496
3122.23;2496
3122.33;2504
3122.43;2509
3122.53;2514
3122.63;2518
3122.73;2523
3122.83;2527
3122.93;2530
3123.03;2534
3123.13;2539
3123.23;2546
3123.33;2547
3123.43;2552
3123.53;2553
3123.63;2556
3123.73;2558
3123.83;2565
3123.93;2572
3124.03;2578
3124.13;2587
3124.23;2593
3124.33;2598
3124.43;2602
3124.53;2602
3124.63;2609
3124.73;2613
3124.83;2614
3124.93;2617
3125.03;2618
3125.13;2622
3125.23;2627
3125.33;2630
3125.43;2634
3125.53;2641
3125.63;2643
3125.73;2646
3125.83;2650
3125.93;2652
3126.03;2657
3126.13;2659
3126.23;2662
3126.33;2664
3126.43;2666
3126.53;2669
3126.63;2672
3126.73;2673
3126.83;2673
3126.93;2679
3127.04;2683
3127.14;2687
3127.24;2691
3127.34;2693
3127.44;2697
3127.54;2699
3127.64;2701
3127.74;2703
3127.84;2707
3127.94;2708
3128.04;2711
3128.14;2714
3128.24;2715
3128.34;2721
3128.44;2721
3128.54;2723
3128.64;2723
3128.74;2722
3128.84;2720
3128.94;2723
3129.04;2724
3129.14;2725
3129.24;2724
3129.34;2724
3129.44;2723
3129.54;2722
3129.64;2720
3129.74;2718
3129.84;2718
3129.94;2716
3130.04;2714
3130.14;2711
3130.24;2707
3130.34;2704
3130.44;2701
3130.54;2700
3130.64;2703
3130.74;2697
3130.84;2698
3130.94;2699
3131.04;2698
3131.14;2694
3131.24;2693
3131.34;2690
3131.44;2687
3131.54;2683
3131.64;2678
3131.74;2677
3131.84;2675
3131.94;2675
3132.04;2675
3132.14;2672
3132.24;2667
3132.34;2661
3132.44;2658
3132.54;2651
3132.64;2644
3132.74;2637
3132.84;2631
3132.94;2628
3133.04;2619
3133.14;2613
3133.24;2609
3133.34;2603
3133.44;2599
3133.54;2587
3133.64;2579
3133.74;2572
3133.84;2565
3133.94;2554
3134.04;2549
3134.14;2541
3134.24;2533
3134.34;2525
3134.44;2516
3134.54;2509
3134.64;2500
3134.74;2493
3134.84;2486
3134.94;2479
3135.05;2469
3135.15;2459
3135.25;2449
3135.35;2438
3135.45;2428
3135.55;2417
3135.65;2404
3135.75;2393
3135.85;2380
3135.95;2368
3136.05;2359
3136.15;2347
3136.25;2335
3136.35;2325
3136.45;2316
3136.55;2306
3136.65;2296
3136.75;2282
3136.85;2274
3136.95;2263
3137.05;2251
3137.15;2239
3137.25;2226
3137.35;2212
3137.45;2197
3137.55;2184
3137.65;2172
3137.75;2163
3137.85;2150
3137.95;2140
3138.05;2129
3138.15;2118
3138.25;2105
3138.35;2096
3138.45;2085
3138.55;2070
3138.65;2058
3138.75;2046
3138.85;2034
3138.95;2022
3139.05;2007
3139.15;1998
3139.25;1984
3139.35;1971
3139.45;1959
3139.55;1945
3139.65;1934
3139.75;1922
3139.85;1910
3139.95;1898
3140.05;1889
3140.15;1874
3140.25;1860
3140.35;1847
3140.45;1834
3140.55;1824
3140.65;1813
3140.75;1802
3140.85;1791
3140.95;1781
3141.05;1770
3141.15;1762
3141.25;1753
3141.35;1742
3141.45;1732
3141.55;1722
3141.65;1711
3141.75;1699
3141.85;1685
3141.95;1673
3142.05;1660
3142.15;1647
3142.25;1636
3142.35;1629
3142.45;1619
3142.55;1612
3142.65;1605
3142.75;1598
3142.85;1593
3142.95;1583
3143.06;1575
3143.16;1566
3143.26;1560
3143.36;1552
3143.46;1547
3143.56;1540
3143.66;1531
3143.76;1523
3143.86;1515
3143.96;1507
3144.06;1499
3144.16;1492
3144.26;1486
3144.36;1479
3144.46;1471
3144.56;1464
3144.66;1460
3144.76;1454
3144.86;1449
3144.96;1443
3145.06;1438
3145.16;1437
3145.26;1425
3145.36;1419
3145.46;1413
3145.56;1407
3145.66;1402
3145.76;1398
3145.86;1393
3145.96;1388
3146.06;1383
3146.16;1377
3146.26;1376
3146.36;1371
3146.46;1368
3146.56;1366
3146.66;1364
3146.76;1361
3146.86;1358
3146.96;1356
3147.06;1352
3147.16;1347
3147.26;1344
3147.36;1341
3147.46;1343
3147.56;1339
3147.66;1337
3147.76;1335
3147.86;1333
3147.96;1335
3148.06;1330
3148.16;1330
3148.26;1329
3148.36;1328
3148.46;1324
3148.56;1327
3148.66;1326
3148.76;1326
3148.86;1326
3148.96;1324
3149.06;1324
3149.16;1323
3149.26;1324
3149.36;1327
3149.46;1328
3149.56;1326
3149.66;1327
3149.76;1328
3149.86;1327
3149.96;1327
3150.06;1328
3150.16;1330
3150.26;1332
3150.36;1330
3150.46;1328
3150.56;1330
3150.66;1332
3150.76;1332
3150.86;1333
3150.96;1334
3151.07;1333
3151.17;1332
3151.27;1329
3151.37;1334
3151.47;1335
3151.57;1337
3151.67;1338
3151.77;1340
3151.87;1340
3151.97;1341
3152.07;1343
3152.17;1343
3152.27;1345
3152.37;1343
3152.47;1344
3152.57;1347
3152.67;1349
3152.77;1350
3152.87;1354
3152.97;1356
3153.07;1357
3153.17;1360
3153.27;1362
3153.37;1365
3153.47;1366
3153.57;1365
3153.67;1371
3153.77;1373
3153.87;1374
3153.97;1375
3154.07;1376
3154.17;1381
3154.27;1385
3154.37;1390
3154.47;1393
3154.57;1397
3154.67;1396
3154.77;1398
3154.87;1401
3154.97;1404
3155.07;1405
3155.17;1406
3155.27;1408
3155.37;1410
3155.47;1413
3155.57;1413
3155.67;1417
3155.77;1420
3155.87;1419
3155.97;1422
3156.07;1426
3156.17;1431
3156.27;1434
3156.37;1436
3156.47;1441
3156.57;1443
3156.67;1444
