Wavelength Trans 
nm % 
524,400000000001 33,383075633499 
524,600000000001 33,6710512099314 
524,800000000001 34,6177700710835 
525,000000000001 34,7583400822079 
525,200000000001 35,2091460668972 
525,400000000001 36,097255876097 
525,600000000001 34,5241365254383 
525,800000000001 32,458124667688 
526,000000000001 33,0775416674066 
526,200000000001 34,0003689659374 
526,400000000001 34,346826749311 
526,600000000002 35,150408995928 
526,800000000002 35,9323505508522 
527,000000000002 36,7888351731595 
527,200000000002 35,9926523545722 
527,400000000002 33,4678353183748 
527,600000000002 33,0057507713192 
527,800000000002 33,2031363357537 
528,000000000002 33,9589758569037 
528,200000000002 34,9675356211278 
528,400000000002 35,9627353387195 
528,600000000002 37,2274629067988 
528,800000000002 36,9568444831459 
529,000000000002 35,4246544992753 
529,200000000002 33,0511194859197 
529,400000000002 33,0651378578297 
529,600000000002 33,9306996975637 
529,800000000002 34,0366937679126 
530,000000000002 34,9686808727633 
530,200000000002 35,9115392042735 
530,400000000002 36,7546414081515 
530,600000000002 37,490092833942 
530,800000000002 35,4115999547462 
531,000000000003 32,3608461870081 
531,200000000003 32,3922998454197 
531,400000000003 32,6687567086748 
531,600000000003 33,9048219349001 
531,800000000003 34,939286841504 
532,000000000003 36,4263647194445 
532,200000000003 36,9786290343406 
532,400000000003 37,243484010559 
532,600000000003 37,2374724494997 
532,800000000003 34,4256014691249 
533,000000000003 32,2043640949712 
533,200000000003 32,1918509291629 
533,400000000003 33,3108074497353 
533,600000000003 34,2425136602447 
533,800000000003 35,355068992963 
534,000000000003 36,6592471357848 
534,200000000003 37,976650854953 
534,400000000003 37,3662220559653 
534,600000000003 36,0291663278154 
534,800000000003 32,798855973643 
535,000000000003 31,4512841842755 
535,200000000003 33,1758531616408 
535,400000000004 34,2983418217762 
535,600000000004 35,6250042444389 
535,800000000004 36,5745074153287 
536,000000000004 36,4599287358464 
536,200000000004 36,411594718297 
536,400000000004 37,266703405904 
536,600000000004 37,7142622595574 
536,800000000004 35,6544135231624 
537,000000000004 32,213225901786 
537,200000000004 33,7907439529138 
537,400000000004 34,7763280179455 
537,600000000004 34,9925163306952 
537,800000000004 36,2589265863217 
538,000000000004 36,8299100910195 
538,200000000004 37,8083867162814 
538,400000000004 38,5749233544495 
538,600000000004 38,4676610760685 
538,800000000004 36,950816146661 
539,000000000004 33,3648958470578 
539,200000000004 33,1583763243779 
539,400000000004 34,2472541914461 
539,600000000004 34,3323234534064 
539,800000000005 34,549084448705 
540,000000000005 36,0377448438806 
540,200000000005 36,7467660559371 
540,400000000005 37,8061782965308 
540,600000000005 39,0447949819085 
540,800000000005 39,0476637897147 
541,000000000005 36,2466093334882 
541,200000000005 33,4042186369376 
541,400000000005 32,8071744580999 
541,600000000005 33,6713474862786 
541,800000000005 34,7562293029548 
542,000000000005 35,6293104120543 
542,200000000005 36,2385957775014 
542,400000000005 37,0041599528593 
542,600000000005 38,2097673797476 
542,800000000005 38,8510564094443 
543,000000000005 38,7639856802257 
543,200000000005 38,6135815674443 
543,400000000005 35,3193860188446 
543,600000000005 31,7389913209444 
543,800000000005 33,0277920920647 
