field,G;intensity,a.u.
3089.79;3243
3089.89;3242
3089.99;3241
3090.09;3243
3090.19;3242
3090.29;3243
3090.39;3243
3090.49;3242
3090.59;3238
3090.69;3235
3090.79;3235
3090.89;3234
3090.99;3236
3091.09;3236
3091.19;3239
3091.29;3237
3091.39;3235
3091.49;3234
3091.59;3233
3091.69;3232
3091.79;3231
3091.89;3232
3091.99;3231
3092.09;3232
3092.19;3229
3092.29;3233
3092.39;3232
3092.49;3232
3092.59;3232
3092.69;3232
3092.79;3232
3092.89;3232
3092.99;3234
3093.09;3232
3093.19;3232
3093.29;3232
3093.39;3233
3093.49;3231
3093.59;3228
3093.69;3226
3093.79;3224
3093.89;3222
3093.99;3222
3094.09;3223
3094.19;3223
3094.29;3224
3094.39;3221
3094.49;3225
3094.59;3226
3094.69;3226
3094.79;3223
3094.89;3226
3094.99;3221
3095.1;3219
3095.2;3217
3095.3;3216
3095.4;3218
3095.5;3215
3095.6;3216
3095.7;3215
3095.8;3216
3095.9;3214
3096;3214
3096.1;3213
3096.2;3214
3096.3;3215
3096.4;3215
3096.5;3213
3096.6;3212
3096.7;3212
3096.8;3211
3096.9;3212
3097;3211
3097.1;3211
3097.2;3209
3097.3;3210
3097.4;3210
3097.5;3209
3097.6;3207
3097.7;3204
3097.8;3203
3097.9;3200
3098;3201
3098.1;3200
3098.2;3203
3098.3;3204
3098.4;3207
3098.5;3207
3098.6;3205
3098.7;3207
3098.8;3205
3098.9;3205
3099;3204
3099.1;3204
3099.2;3204
3099.3;3205
3099.4;3202
3099.5;3202
3099.6;3201
3099.7;3199
3099.8;3197
3099.9;3196
3100;3194
3100.1;3193
3100.2;3191
3100.3;3187
3100.4;3191
3100.5;3189
3100.6;3190
3100.7;3190
3100.8;3194
3100.9;3190
3101;3190
3101.1;3189
3101.2;3189
3101.3;3191
3101.4;3188
3101.5;3190
3101.6;3189
3101.7;3190
3101.8;3191
3101.9;3191
3102;3189
3102.1;3189
3102.2;3186
3102.3;3184
3102.4;3183
3102.5;3180
3102.6;3180
3102.7;3180
3102.8;3181
3102.9;3182
3103.01;3183
3103.11;3182
3103.21;3182
3103.31;3180
3103.41;3179
3103.51;3179
3103.61;3176
3103.71;3176
3103.81;3175
3103.91;3173
3104.01;3167
3104.11;3169
3104.21;3164
3104.31;3164
3104.41;3164
3104.51;3163
3104.61;3165
3104.71;3164
3104.81;3165
3104.91;3166
3105.01;3166
3105.11;3167
3105.21;3171
3105.31;3166
3105.41;3165
3105.51;3166
3105.61;3165
3105.71;3164
3105.81;3165
3105.91;3165
3106.01;3164
3106.11;3164
3106.21;3159
3106.31;3162
3106.41;3160
3106.51;3161
3106.61;3161
3106.71;3164
3106.81;3160
3106.91;3160
3107.01;3158
3107.11;3159
3107.21;3162
3107.31;3159
3107.41;3160
3107.51;3160
3107.61;3159
3107.71;3159
3107.81;3158
3107.91;3157
3108.01;3157
3108.11;3156
3108.21;3155
3108.31;3154
3108.41;3152
3108.51;3154
3108.61;3154
3108.71;3152
3108.81;3151
3108.91;3153
3109.01;3151
3109.11;3150
3109.21;3149
3109.31;3148
3109.41;3149
3109.51;3147
3109.61;3148
3109.71;3148
3109.81;3148
3109.91;3146
3110.01;3151
3110.11;3149
3110.21;3148
3110.31;3148
3110.41;3143
3110.51;3144
3110.61;3142
3110.71;3142
3110.81;3142
3110.91;3143
3111.02;3143
3111.12;3145
3111.22;3144
3111.32;3145
3111.42;3144
3111.52;3144
3111.62;3143
3111.72;3145
3111.82;3146
3111.92;3146
3112.02;3145
3112.12;3138
3112.22;3140
3112.32;3139
3112.42;3138
3112.52;3138
3112.62;3140
3112.72;3138
3112.82;3137
3112.92;3137
3113.02;3136
3113.12;3138
3113.22;3134
3113.32;3134
3113.42;3131
3113.52;3130
3113.62;3128
3113.72;3127
3113.82;3125
3113.92;3125
3114.02;3128
3114.12;3126
3114.22;3126
3114.32;3123
3114.42;3123
3114.52;3121
3114.62;3119
3114.72;3117
3114.82;3119
3114.92;3117
3115.02;3116
3115.12;3116
3115.22;3116
3115.32;3118
3115.42;3116
3115.52;3116
3115.62;3115
3115.72;3115
3115.82;3112
3115.92;3117
3116.02;3116
3116.12;3114
3116.22;3114
3116.32;3112
3116.42;3113
3116.52;3111
3116.62;3111
3116.72;3111
3116.82;3110
3116.92;3109
3117.02;3110
3117.12;3106
3117.22;3104
3117.32;3104
3117.42;3106
3117.52;3106
3117.62;3105
3117.72;3106
3117.82;3108
3117.92;3108
3118.02;3103
3118.12;3104
3118.22;3104
3118.32;3103
3118.42;3102
3118.52;3102
3118.62;3102
3118.72;3103
3118.82;3103
3118.92;3103
3119.03;3106
3119.13;3103
3119.23;3101
3119.33;3100
3119.43;3099
3119.53;3096
3119.63;3094
3119.73;3094
3119.83;3093
3119.93;3093
3120.03;3092
3120.13;3091
3120.23;3090
3120.33;3091
3120.43;3091
3120.53;3091
3120.63;3089
3120.73;3089
3120.83;3088
3120.93;3086
3121.03;3086
3121.13;3087
3121.23;3089
3121.33;3085
3121.43;3085
3121.53;3084
3121.63;3085
3121.73;3085
3121.83;3087
3121.93;3087
3122.03;3087
3122.13;3085
3122.23;3080
3122.33;3080
3122.43;3078
3122.53;3080
3122.63;3080
3122.73;3082
3122.83;3085
3122.93;3088
3123.03;3088
3123.13;3088
3123.23;3086
3123.33;3084
3123.43;3083
3123.53;3080
3123.63;3079
3123.73;3077
3123.83;3075
3123.93;3069
3124.03;3072
3124.13;3070
3124.23;3071
3124.33;3070
3124.43;3070
3124.53;3072
3124.63;3070
3124.73;3072
3124.83;3072
3124.93;3073
3125.03;3069
3125.13;3069
3125.23;3065
3125.33;3064
3125.43;3064
3125.53;3064
3125.63;3065
3125.73;3064
3125.83;3064
3125.93;3062
3126.03;3060
3126.13;3058
3126.23;3062
3126.33;3061
3126.43;3061
3126.53;3061
3126.63;3058
3126.73;3056
3126.83;3055
3126.93;3054
3127.04;3054
3127.14;3058
3127.24;3054
3127.34;3056
3127.44;3055
3127.54;3056
3127.64;3055
3127.74;3056
3127.84;3056
3127.94;3057
3128.04;3054
3128.14;3050
3128.24;3051
3128.34;3047
3128.44;3047
3128.54;3046
3128.64;3046
3128.74;3047
3128.84;3048
3128.94;3047
3129.04;3045
3129.14;3043
3129.24;3042
3129.34;3042
3129.44;3039
3129.54;3038
3129.64;3038
3129.74;3033
3129.84;3029
3129.94;3033
3130.04;3032
3130.14;3031
3130.24;3031
3130.34;3028
3130.44;3030
3130.54;3029
3130.64;3029
3130.74;3028
3130.84;3030
3130.94;3029
3131.04;3029
3131.14;3028
3131.24;3028
3131.34;3029
3131.44;3028
3131.54;3031
3131.64;3032
3131.74;3032
3131.84;3031
3131.94;3030
3132.04;3027
3132.14;3028
3132.24;3028
3132.34;3028
3132.44;3028
3132.54;3027
3132.64;3026
3132.74;3026
3132.84;3025
3132.94;3025
3133.04;3031
3133.14;3024
3133.24;3023
3133.34;3023
3133.44;3023
3133.54;3021
3133.64;3021
3133.74;3020
3133.84;3019
3133.94;3017
3134.04;3015
3134.14;3016
3134.24;3013
3134.34;3014
3134.44;3013
3134.54;3013
3134.64;3012
3134.74;3013
3134.84;3011
3134.94;3010
3135.05;3010
3135.15;3010
3135.25;3011
3135.35;3010
3135.45;3009
3135.55;3008
3135.65;3008
3135.75;3004
3135.85;3006
3135.95;3006
3136.05;3005
3136.15;3005
3136.25;3003
3136.35;3006
3136.45;3005
3136.55;3005
3136.65;3003
3136.75;3003
3136.85;3001
3136.95;3003
3137.05;3004
3137.15;3002
3137.25;3002
3137.35;3002
3137.45;3003
3137.55;3001
3137.65;3000
3137.75;2999
3137.85;2998
3137.95;2995
3138.05;2996
3138.15;2994
3138.25;2993
3138.35;2993
3138.45;2990
3138.55;2988
3138.65;2987
3138.75;2988
3138.85;2988
3138.95;2995
