field,G;intensity,a.u.;I, A
3285.06;1661;0.75
3285.16;1742;0.75
3285.26;1826;0.75
3285.36;1913;0.75
3285.46;2004;0.75
3285.56;2098;0.75
3285.66;2194;0.75
3285.76;2283;0.75
3285.86;2368;0.75
3285.96;2448;0.75
3286.06;2524;0.75
3286.16;2589;0.75
3286.26;2646;0.75
3286.36;2697;0.75
3286.46;2738;0.75
3286.56;2763;0.75
3286.66;2779;0.75
3286.76;2791;0.75
3286.86;2794;0.75
3286.96;2793;0.75
3287.06;2776;0.75
3287.16;2758;0.75
3287.26;2732;0.75
3287.36;2711;0.75
3287.46;2684;0.75
3287.56;2657;0.75
3287.66;2622;0.75
3287.76;2591;0.75
3287.86;2558;0.75
3287.96;2528;0.75
3288.06;2499;0.75
3288.16;2470;0.75
3288.26;2440;0.75
3288.36;2415;0.75
3288.46;2393;0.75
3288.56;2369;0.75
3288.66;2349;0.75
3288.76;2328;0.75
3288.86;2307;0.75
3288.96;2288;0.75
3289.06;2272;0.75
3289.16;2256;0.75
3289.26;2245;0.75
3289.36;2231;0.75
3289.46;2216;0.75
3289.56;2205;0.75
3289.66;2195;0.75
3289.76;2186;0.75
3289.86;2179;0.75
3289.96;2174;0.75
3290.06;2171;0.75
3290.16;2169;0.75
3290.26;2162;0.75
3290.36;2162;0.75
3290.46;2163;0.75
3290.56;2159;0.75
3290.66;2151;0.75
3290.76;2144;0.75
3290.86;2141;0.75
3290.96;2137;0.75
3291.07;2131;0.75
3291.17;2127;0.75
3291.27;2126;0.75
3291.37;2125;0.75
3291.47;2129;0.75
3291.57;2128;0.75
3291.67;2122;0.75
3291.77;2121;0.75
3291.87;2110;0.75
3291.97;2112;0.75
3292.07;2102;0.75
3292.17;2108;0.75
3292.27;2108;0.75
3292.37;2109;0.75
3292.47;2104;0.75
3292.57;2100;0.75
3292.67;2096;0.75
3292.77;2093;0.75
3292.87;2092;0.75
3292.97;2090;0.75
3293.07;2091;0.75
3293.17;2092;0.75
3293.27;2092;0.75
3293.37;2089;0.75
3293.47;2089;0.75
3293.57;2085;0.75
3293.67;2080;0.75
3293.77;2076;0.75
3293.87;2070;0.75
3293.97;2066;0.75
3294.07;2064;0.75
3294.17;2061;0.75
3294.27;2063;0.75
3294.37;2062;0.75
3294.47;2063;0.75
3294.57;2063;0.75
3294.67;2064;0.75
3294.77;2063;0.75
3294.87;2062;0.75
3294.97;2057;0.75
3295.07;2052;0.75
3295.17;2049;0.75
3295.27;2045;0.75
3295.37;2048;0.75
3295.47;2052;0.75
3295.57;2057;0.75
3295.67;2055;0.75
3295.77;2051;0.75
3295.87;2048;0.75
3295.97;2047;0.75
3296.07;2049;0.75
3296.17;2044;0.75
3296.27;2047;0.75
3296.37;2039;0.75
3296.47;2048;0.75
3296.57;2042;0.75
3296.67;2050;0.75
3296.77;2046;0.75
3296.87;2050;0.75
3296.97;2057;0.75
3297.07;2061;0.75
3297.17;2060;0.75
3297.27;2057;0.75
3297.37;2055;0.75
3297.47;2056;0.75
3297.57;2058;0.75
3297.67;2059;0.75
3297.77;2059;0.75
3297.87;2056;0.75
3297.97;2052;0.75
3298.07;2050;0.75
3298.17;2050;0.75
3298.27;2049;0.75
3298.37;2046;0.75
3298.47;2047;0.75
3298.57;2048;0.75
3298.67;2049;0.75
3298.77;2049;0.75
3298.87;2049;0.75
3298.97;2048;0.75
3299.08;2048;0.75
3299.18;2049;0.75
3299.28;2051;0.75
3299.38;2053;0.75
3299.48;2054;0.75
3299.58;2052;0.75
3299.68;2051;0.75
3299.78;2050;0.75
3299.88;2047;0.75
3299.98;2047;0.75
3300.08;2044;0.75
3300.18;2042;0.75
3300.28;2040;0.75
3300.38;2043;0.75
3300.48;2039;0.75
3300.58;2040;0.75
3300.68;2038;0.75
3300.78;2041;0.75
3300.88;2039;0.75
3300.98;2043;0.75
