field,G;intensity,a.u.
3080.08;2962
3080.18;2960
3080.28;2968
3080.38;2967
3080.48;2968
3080.58;2969
3080.68;2968
3080.78;2969
3080.88;2969
3080.98;2969
3081.08;2969
3081.18;2969
3081.28;2970
3081.38;2965
3081.48;2963
3081.58;2961
3081.68;2960
3081.78;2962
3081.88;2960
3081.98;2964
3082.08;2960
3082.18;2955
3082.28;2949
3082.38;2939
3082.48;2938
3082.58;2932
3082.68;2928
3082.78;2924
3082.88;2916
3082.98;2908
3083.08;2901
3083.18;2894
3083.28;2886
3083.38;2877
3083.48;2869
3083.58;2859
3083.68;2852
3083.78;2846
3083.88;2841
3083.98;2838
3084.08;2827
3084.18;2827
3084.28;2825
3084.38;2819
3084.48;2811
3084.58;2798
3084.68;2787
3084.78;2771
3084.88;2756
3084.98;2746
3085.08;2737
3085.18;2729
3085.28;2720
3085.38;2713
3085.48;2703
3085.58;2692
3085.68;2681
3085.78;2667
3085.88;2657
3085.98;2646
3086.08;2631
3086.18;2618
3086.28;2600
3086.38;2586
3086.48;2572
3086.58;2557
3086.68;2543
3086.78;2523
3086.88;2506
3086.98;2486
3087.09;2465
3087.19;2447
3087.29;2433
3087.39;2419
3087.49;2400
3087.59;2384
3087.69;2368
3087.79;2353
3087.89;2339
3087.99;2324
3088.09;2306
3088.19;2289
3088.29;2273
3088.39;2256
3088.49;2236
3088.59;2224
3088.69;2210
3088.79;2196
3088.89;2185
3088.99;2169
3089.09;2157
3089.19;2142
3089.29;2129
3089.39;2115
3089.49;2100
3089.59;2090
3089.69;2086
3089.79;2083
3089.89;2078
3089.99;2073
3090.09;2069
3090.19;2062
3090.29;2055
3090.39;2052
3090.49;2050
3090.59;2048
3090.69;2046
3090.79;2046
3090.89;2044
3090.99;2046
3091.09;2048
3091.19;2048
3091.29;2049
3091.39;2052
3091.49;2051
3091.59;2058
3091.69;2068
3091.79;2078
3091.89;2088
3091.99;2097
3092.09;2108
3092.19;2118
3092.29;2126
3092.39;2137
3092.49;2148
3092.59;2158
3092.69;2168
3092.79;2177
3092.89;2183
3092.99;2192
3093.09;2200
3093.19;2206
3093.29;2215
3093.39;2226
3093.49;2236
3093.59;2246
3093.69;2252
3093.79;2261
3093.89;2271
3093.99;2282
3094.09;2295
3094.19;2305
3094.29;2313
3094.39;2321
3094.49;2330
3094.59;2336
3094.69;2344
3094.79;2348
3094.89;2348
3094.99;2349
3095.1;2354
3095.2;2360
3095.3;2368
3095.4;2372
3095.5;2376
3095.6;2385
3095.7;2387
3095.8;2394
3095.9;2397
3096;2402
3096.1;2405
3096.2;2408
3096.3;2413
3096.4;2417
3096.5;2420
3096.6;2423
3096.7;2425
3096.8;2430
3096.9;2429
3097;2430
3097.1;2436
3097.2;2443
3097.3;2449
3097.4;2453
3097.5;2456
3097.6;2458
3097.7;2458
3097.8;2464
3097.9;2466
3098;2470
3098.1;2473
3098.2;2476
3098.3;2475
3098.4;2474
3098.5;2476
3098.6;2476
3098.7;2480
3098.8;2485
3098.9;2489
3099;2492
3099.1;2489
3099.2;2486
3099.3;2483
3099.4;2483
3099.5;2488
3099.6;2486
3099.7;2486
3099.8;2482
3099.9;2482
3100;2487
3100.1;2483
3100.2;2482
3100.3;2479
3100.4;2478
3100.5;2479
3100.6;2479
3100.7;2483
3100.8;2481
3100.9;2482
3101;2487
3101.1;2487
3101.2;2490
3101.3;2489
3101.4;2488
3101.5;2494
3101.6;2500
3101.7;2509
3101.8;2506
3101.9;2504
3102;2499
3102.1;2496
3102.2;2497
3102.3;2492
3102.4;2493
3102.5;2494
3102.6;2494
3102.7;2497
3102.8;2499
3102.9;2505
3103.01;2505
3103.11;2504
3103.21;2506
3103.31;2509
3103.41;2511
3103.51;2512
3103.61;2514
3103.71;2516
3103.81;2519
3103.91;2530
3104.01;2527
3104.11;2526
3104.21;2522
3104.31;2523
3104.41;2525
3104.51;2519
3104.61;2515
3104.71;2511
3104.81;2509
3104.91;2510
3105.01;2510
3105.11;2509
3105.21;2501
3105.31;2499
3105.41;2498
3105.51;2501
3105.61;2506
3105.71;2509
3105.81;2514
3105.91;2519
3106.01;2526
3106.11;2535
3106.21;2532
3106.31;2532
3106.41;2530
3106.51;2529
3106.61;2530
3106.71;2527
3106.81;2527
3106.91;2525
3107.01;2523
3107.11;2520
3107.21;2519
3107.31;2519
3107.41;2516
3107.51;2515
3107.61;2518
3107.71;2521
3107.81;2527
3107.91;2528
3108.01;2528
3108.11;2530
3108.21;2531
3108.31;2538
3108.41;2537
3108.51;2535
3108.61;2536
3108.71;2537
3108.81;2540
3108.91;2539
3109.01;2542
3109.11;2547
3109.21;2547
3109.31;2544
3109.41;2541
3109.51;2541
3109.61;2539
3109.71;2539
3109.81;2540
3109.91;2540
3110.01;2543
3110.11;2541
3110.21;2540
3110.31;2541
3110.41;2542
3110.51;2546
3110.61;2545
3110.71;2545
3110.81;2545
3110.91;2544
3111.02;2543
3111.12;2544
3111.22;2546
3111.32;2549
3111.42;2554
3111.52;2558
3111.62;2558
3111.72;2560
3111.82;2562
3111.92;2562
3112.02;2564
3112.12;2561
3112.22;2555
3112.32;2549
3112.42;2548
3112.52;2549
3112.62;2549
3112.72;2557
3112.82;2558
3112.92;2559
3113.02;2560
3113.12;2560
3113.22;2560
3113.32;2562
3113.42;2560
3113.52;2562
3113.62;2555
3113.72;2552
3113.82;2555
3113.92;2558
3114.02;2562
3114.12;2563
3114.22;2567
3114.32;2571
3114.42;2572
3114.52;2573
3114.62;2573
3114.72;2572
3114.82;2572
3114.92;2571
3115.02;2569
3115.12;2567
3115.22;2567
3115.32;2567
3115.42;2566
3115.52;2571
3115.62;2571
3115.72;2576
3115.82;2578
3115.92;2580
3116.02;2582
3116.12;2582
3116.22;2584
3116.32;2583
3116.42;2582
3116.52;2580
3116.62;2579
3116.72;2579
3116.82;2577
3116.92;2578
3117.02;2581
3117.12;2584
3117.22;2589
3117.32;2592
3117.42;2596
3117.52;2598
3117.62;2598
3117.72;2598
3117.82;2595
3117.92;2593
3118.02;2589
3118.12;2584
3118.22;2582
3118.32;2581
3118.42;2586
3118.52;2593
3118.62;2602
3118.72;2608
3118.82;2610
3118.92;2612
3119.03;2611
3119.13;2612
3119.23;2609
3119.33;2608
3119.43;2606
3119.53;2603
3119.63;2606
3119.73;2608
3119.83;2607
3119.93;2608
3120.03;2605
3120.13;2607
3120.23;2607
3120.33;2605
3120.43;2603
3120.53;2600
3120.63;2600
3120.73;2599
3120.83;2598
3120.93;2598
3121.03;2596
3121.13;2600
3121.23;2598
3121.33;2597
3121.43;2598
3121.53;2593
3121.63;2597
3121.73;2594
3121.83;2595
3121.93;2596
3122.03;2592
3122.13;2593
3122.23;2590
3122.33;2592
3122.43;2591
3122.53;2590
3122.63;2590
3122.73;2588
3122.83;2587
3122.93;2583
3123.03;2580
3123.13;2582
3123.23;2577
3123.33;2577
3123.43;2575
3123.53;2574
3123.63;2572
3123.73;2566
3123.83;2564
3123.93;2559
3124.03;2555
3124.13;2547
3124.23;2541
3124.33;2540
3124.43;2539
3124.53;2536
3124.63;2529
3124.73;2524
3124.83;2521
3124.93;2516
3125.03;2512
3125.13;2504
3125.23;2499
3125.33;2498
3125.43;2494
3125.53;2494
3125.63;2490
3125.73;2489
3125.83;2483
3125.93;2473
3126.03;2473
3126.13;2469
3126.23;2467
3126.33;2464
3126.43;2461
3126.53;2461
3126.63;2460
3126.73;2461
3126.83;2461
3126.93;2462
3127.04;2462
3127.14;2459
3127.24;2460
3127.34;2461
3127.44;2463
3127.54;2464
3127.64;2460
3127.74;2465
3127.84;2464
3127.94;2463
3128.04;2461
3128.14;2457
3128.24;2461
3128.34;2461
3128.44;2462
3128.54;2461
3128.64;2461
3128.74;2466
3128.84;2472
3128.94;2480
3129.04;2483
3129.14;2484
3129.24;2479
3129.34;2475
3129.44;2473
3129.54;2470
3129.64;2467
3129.74;2465
3129.84;2459
3129.94;2464
3130.04;2466
3130.14;2469
3130.24;2472
3130.34;2474
3130.44;2481
3130.54;2486
3130.64;2487
3130.74;2489
3130.84;2491
3130.94;2492
3131.04;2498
3131.14;2504
3131.24;2504
3131.34;2503
3131.44;2506
3131.54;2507
3131.64;2509
3131.74;2510
3131.84;2513
3131.94;2517
3132.04;2520
3132.14;2530
3132.24;2534
3132.34;2532
3132.44;2532
3132.54;2530
3132.64;2530
3132.74;2530
3132.84;2528
3132.94;2527
3133.04;2530
3133.14;2531
3133.24;2535
3133.34;2538
3133.44;2541
3133.54;2542
3133.64;2542
3133.74;2542
3133.84;2541
3133.94;2542
3134.04;2539
3134.14;2536
3134.24;2536
3134.34;2542
3134.44;2548
3134.54;2551
3134.64;2552
3134.74;2552
3134.84;2553
3134.94;2556
3135.05;2560
3135.15;2560
3135.25;2558
3135.35;2555
3135.45;2554
3135.55;2548
3135.65;2546
3135.75;2546
3135.85;2549
3135.95;2548
3136.05;2549
3136.15;2551
3136.25;2555
3136.35;2556
3136.45;2553
3136.55;2549
3136.65;2549
3136.75;2553
3136.85;2558
3136.95;2560
3137.05;2559
3137.15;2557
3137.25;2554
3137.35;2554
3137.45;2554
3137.55;2556
3137.65;2562
3137.75;2565
3137.85;2566
3137.95;2565
3138.05;2561
3138.15;2561
3138.25;2560
3138.35;2563
3138.45;2568
3138.55;2570
3138.65;2572
3138.75;2570
3138.85;2574
3138.95;2575
3139.05;2578
3139.15;2580
3139.25;2581
3139.35;2584
3139.45;2588
3139.55;2592
3139.65;2597
3139.75;2597
3139.85;2596
3139.95;2592
3140.05;2590
3140.15;2590
3140.25;2587
3140.35;2589
3140.45;2590
3140.55;2592
3140.65;2595
3140.75;2598
3140.85;2601
3140.95;2601
3141.05;2607
3141.15;2610
3141.25;2612
3141.35;2615
3141.45;2611
3141.55;2611
3141.65;2610
3141.75;2608
3141.85;2605
3141.95;2605
3142.05;2606
3142.15;2603
3142.25;2605
3142.35;2608
3142.45;2609
3142.55;2612
3142.65;2609
3142.75;2604
3142.85;2602
3142.95;2599
3143.06;2605
3143.16;2604
3143.26;2608
3143.36;2610
3143.46;2611
3143.56;2612
3143.66;2609
3143.76;2606
3143.86;2601
3143.96;2598
3144.06;2599
3144.16;2600
3144.26;2603
3144.36;2600
3144.46;2602
3144.56;2600
3144.66;2599
3144.76;2599
3144.86;2592
3144.96;2590
3145.06;2589
3145.16;2583
3145.26;2588
3145.36;2584
3145.46;2581
3145.56;2578
3145.66;2575
3145.76;2577
3145.86;2574
3145.96;2573
3146.06;2573
3146.16;2571
3146.26;2569
3146.36;2568
3146.46;2569
3146.56;2567
3146.66;2562
3146.76;2558
3146.86;2554
3146.96;2553
3147.06;2545
3147.16;2539
3147.26;2534
3147.36;2527
3147.46;2527
3147.56;2520
3147.66;2517
3147.76;2513
3147.86;2507
3147.96;2502
3148.06;2496
3148.16;2495
3148.26;2494
3148.36;2492
3148.46;2491
3148.56;2488
3148.66;2489
3148.76;2487
3148.86;2485
3148.96;2486
3149.06;2489
3149.16;2490
3149.26;2487
3149.36;2484
3149.46;2478
3149.56;2474
3149.66;2476
3149.76;2471
3149.86;2471
3149.96;2472
3150.06;2472
3150.16;2472
3150.26;2470
3150.36;2472
3150.46;2477
3150.56;2479
3150.66;2482
3150.76;2481
3150.86;2481
3150.96;2481
3151.07;2480
3151.17;2481
3151.27;2482
3151.37;2480
3151.47;2479
3151.57;2478
3151.67;2481
3151.77;2483
3151.87;2488
3151.97;2487
3152.07;2487
3152.17;2493
3152.27;2496
3152.37;2499
3152.47;2503
3152.57;2504
3152.67;2507
3152.77;2510
3152.87;2515
3152.97;2520
3153.07;2522
3153.17;2528
3153.27;2528
3153.37;2528
3153.47;2525
3153.57;2526
3153.67;2526
3153.77;2527
3153.87;2530
3153.97;2531
3154.07;2534
3154.17;2533
3154.27;2528
3154.37;2528
3154.47;2531
3154.57;2531
3154.67;2532
3154.77;2530
3154.87;2534
3154.97;2536
3155.07;2536
3155.17;2539
3155.27;2541
3155.37;2541
3155.47;2540
3155.57;2541
3155.67;2541
3155.77;2541
3155.87;2547
3155.97;2554
3156.07;2559
3156.17;2561
3156.27;2561
3156.37;2562
3156.47;2560
3156.57;2557
3156.67;2553
3156.77;2547
3156.87;2547
3156.97;2546
3157.07;2548
3157.17;2549
3157.27;2550
3157.37;2550
3157.47;2547
3157.57;2547
3157.67;2547
3157.77;2548
3157.87;2548
3157.97;2544
3158.07;2548
3158.17;2549
3158.27;2549
3158.37;2545
3158.47;2541
3158.57;2545
3158.67;2544
3158.77;2547
3158.87;2551
3158.97;2550
3159.08;2549
3159.18;2547
3159.28;2551
3159.38;2551
3159.48;2552
3159.58;2554
3159.68;2555
3159.78;2557
3159.88;2557
3159.98;2557
3160.08;2558
3160.18;2556
3160.28;2560
3160.38;2560
3160.48;2560
3160.58;2558
3160.68;2557
3160.78;2560
3160.88;2561
3160.98;2564
3161.08;2562
3161.18;2560
3161.28;2559
3161.38;2555
3161.48;2556
3161.58;2557
3161.68;2557
3161.78;2559
3161.88;2556
3161.98;2560
3162.08;2564
3162.18;2565
3162.28;2565
3162.38;2560
3162.48;2561
3162.58;2560
3162.68;2561
3162.78;2564
3162.88;2560
3162.98;2564
3163.08;2563
3163.18;2564
3163.28;2567
3163.38;2568
3163.48;2569
3163.58;2568
3163.68;2567
3163.78;2564
3163.88;2558
3163.98;2555
3164.08;2556
3164.18;2561
3164.28;2564
3164.38;2564
3164.48;2562
3164.58;2560
3164.68;2566
3164.78;2567
3164.88;2566
3164.98;2565
3165.08;2565
3165.18;2571
3165.28;2573
3165.38;2574
3165.48;2575
3165.58;2574
3165.68;2575
3165.78;2574
3165.88;2576
3165.98;2578
3166.08;2576
3166.18;2571
3166.28;2572
3166.38;2577
3166.48;2582
3166.58;2584
3166.68;2585
3166.78;2583
3166.88;2588
3166.98;2589
3167.09;2585
3167.19;2583
3167.29;2583
3167.39;2586
3167.49;2586
3167.59;2582
3167.69;2580
3167.79;2580
3167.89;2576
3167.99;2579
3168.09;2581
3168.19;2585
3168.29;2585
3168.39;2584
3168.49;2584
3168.59;2587
3168.69;2589
3168.79;2591
3168.89;2590
3168.99;2589
3169.09;2592
3169.19;2596
3169.29;2598
3169.39;2607
3169.49;2614
3169.59;2615
3169.69;2621
3169.79;2625
3169.89;2629
3169.99;2637
3170.09;2643
3170.19;2647
3170.29;2648
3170.39;2652
3170.49;2654
3170.59;2657
3170.69;2660
3170.79;2663
3170.89;2667
3170.99;2670
3171.09;2677
3171.19;2687
3171.29;2694
3171.39;2702
3171.49;2707
3171.59;2713
3171.69;2719
3171.79;2722
3171.89;2727
3171.99;2729
3172.09;2734
3172.19;2736
3172.29;2740
3172.39;2745
3172.49;2747
3172.59;2752
3172.69;2761
3172.79;2769
3172.89;2781
3172.99;2788
3173.09;2796
3173.19;2806
3173.29;2813
3173.39;2823
3173.49;2826
3173.59;2835
3173.69;2842
3173.79;2850
3173.89;2859
3173.99;2860
3174.09;2865
3174.19;2866
3174.29;2868
3174.39;2871
3174.49;2873
3174.59;2879
3174.69;2879
3174.79;2876
3174.89;2874
3174.99;2871
3175.1;2868
3175.2;2861
3175.3;2855
3175.4;2851
3175.5;2847
3175.6;2849
3175.7;2842
3175.8;2839
3175.9;2837
3176;2832
3176.1;2826
3176.2;2818
3176.3;2817
3176.4;2815
3176.5;2812
3176.6;2809
3176.7;2802
3176.8;2800
3176.9;2793
3177;2788
3177.1;2780
3177.2;2772
3177.3;2767
3177.4;2759
3177.5;2750
3177.6;2742
3177.7;2731
3177.8;2726
3177.9;2715
3178;2710
3178.1;2704
3178.2;2698
3178.3;2695
3178.4;2686
3178.5;2679
3178.6;2670
3178.7;2660
3178.8;2648
3178.9;2637
3179;2629
3179.1;2618
3179.2;2612
3179.3;2608
3179.4;2605
3179.5;2603
3179.6;2596
3179.7;2593
3179.8;2590
3179.9;2589
3180;2595
3180.1;2585
3180.2;2580
3180.3;2576
3180.4;2572
3180.5;2570
3180.6;2563
3180.7;2558
3180.8;2551
3180.9;2542
3181;2535
3181.1;2528
3181.2;2522
3181.3;2515
3181.4;2508
3181.5;2500
3181.6;2490
3181.7;2481
3181.8;2468
3181.9;2457
3182;2448
3182.1;2437
3182.2;2427
3182.3;2414
3182.4;2403
3182.5;2391
3182.6;2378
3182.7;2367
3182.8;2359
3182.9;2351
3183.01;2343
3183.11;2333
3183.21;2322
3183.31;2311
3183.41;2303
3183.51;2294
3183.61;2286
3183.71;2280
3183.81;2272
3183.91;2264
3184.01;2257
3184.11;2251
3184.21;2244
3184.31;2236
3184.41;2231
3184.51;2226
3184.61;2222
3184.71;2219
3184.81;2215
3184.91;2211
3185.01;2211
3185.11;2210
3185.21;2207
3185.31;2204
3185.41;2204
3185.51;2203
3185.61;2203
3185.71;2205
3185.81;2207
3185.91;2207
3186.01;2208
3186.11;2209
3186.21;2212
3186.31;2212
3186.41;2213
3186.51;2212
3186.61;2213
3186.71;2219
3186.81;2225
3186.91;2234
3187.01;2241
3187.11;2247
3187.21;2253
3187.31;2260
3187.41;2268
3187.51;2274
3187.61;2282
3187.71;2293
3187.81;2300
3187.91;2308
3188.01;2315
3188.11;2319
3188.21;2321
